event_id,event_date,event_type,region,country,facility,supplier_id,supplier_tier,material_or_component,transport_mode,root_cause,severity_level,duration_days,lead_time_increase_days,shipment_delay_days,otd_drop_pct,inventory_doh_before,inventory_doh_after,production_downtime_hours,affected_skus,expedite_cost_usd,logistics_cost_increase_pct,revenue_at_risk_usd,financial_impact_usd,mitigation_action,business_continuity_status
EVT-023,2026-02-26,Transport Disruption,South America,Brazil,Sao Paulo Manufacturing Plant,SUP-1038,Tier 2,Rubber,Air,rail network failure,High,22,17,15,38,55,23,171,224,115217,42,1304914,849922,Switch transport mode,Severely At Risk
EVT-024,2026-02-28,Labor Strike,South America,Chile,Santiago Logistics Hub,SUP-1010,Tier 2,Copper,Rail,working-conditions protest,Low,4,3,2,12,33,29,5,11,14423,9,118567,97310,Negotiate with union,Stable with Monitoring
EVT-025,2026-03-01,Labor Strike,North America,USA,Texas Distribution Center,SUP-1099,Tier 3,Steel,Road,working-conditions protest,Low,1,2,2,7,42,38,7,22,5748,14,144224,54917,Cross-train employees,Stable
EVT-026,2026-03-02,Cyber Attack,North America,USA,Texas Distribution Center,SUP-1039,Tier 2,Rubber,Air,system breach,Low,2,1,3,15,37,32,9,26,5966,14,122581,33665,Implement incident response,Stable
EVT-027,2026-03-05,Labor Strike,South America,Argentina,Buenos Aires Distribution Center,SUP-1055,Tier 3,Glass,Road,working-conditions protest,Low,5,3,5,13,28,24,12,16,17232,11,128230,88301,Activate contingency workforce,Stable
EVT-028,2026-03-08,Quality Failure,Europe,Netherlands,Rotterdam Distribution Center,SUP-1043,Tier 1,Packaging,Sea,inspection failure,Medium,9,6,9,23,38,23,47,31,92715,21,194885,76943,Return to supplier,At Risk
EVT-029,2026-03-12,Quality Failure,Asia,China,Shenzhen Manufacturing Plant,SUP-1028,Tier 2,Bearings,Air,material substandard,Medium,13,8,10,28,34,22,59,100,68357,26,518498,270784,Return to supplier,Stable with Monitoring
EVT-030,2026-03-14,Customs Delay,Asia,South Korea,Busan Electronics Plant,SUP-1024,Tier 1,Glass,Sea,border inspection,Critical,46,29,28,56,52,13,351,416,1156822,55,4535604,1172403,Engage customs broker,Severely At Risk
EVT-031,2026-03-15,Supplier Bankruptcy,Africa,Egypt,Alexandria Manufacturing Plant,SUP-1013,Tier 3,Electronic Components,Sea,cash-flow crisis,Medium,7,4,9,30,46,38,19,38,77521,30,188840,112588,Qualify alternate supplier,Stable with Monitoring
EVT-032,2026-03-18,Natural Disaster,Europe,Germany,Berlin Manufacturing Plant,SUP-1077,Tier 2,Electronic Components,Sea,tsunami,Medium,12,6,11,24,46,37,48,37,38006,21,477950,180003,Emergency inventory allocation,Stable with Monitoring
EVT-033,2026-03-20,Natural Disaster,Europe,Germany,Berlin Manufacturing Plant,SUP-1057,Tier 2,Glass,Sea,earthquake,Medium,9,9,12,17,32,14,55,59,59675,21,372895,118903,Emergency inventory allocation,At Risk
EVT-034,2026-03-22,Natural Disaster,Asia,Vietnam,Ho Chi Minh Manufacturing Plant,SUP-1076,Tier 2,Electronic Components,Road,typhoon,Low,3,4,3,13,33,26,8,16,16344,6,98385,26949,Reroute shipments,Stable with Monitoring
EVT-035,2026-03-23,Natural Disaster,Europe,United Kingdom,Birmingham Distribution Center,SUP-1097,Tier 2,Semiconductors,Road,earthquake,Medium,15,7,9,20,35,22,49,85,89451,17,396420,181868,Activate backup suppliers,Stable with Monitoring
EVT-036,2026-03-26,Transport Disruption,Africa,Nigeria,Lagos Distribution Center,SUP-1084,Tier 3,Plastics,Sea,fleet shortage,Medium,10,4,11,15,36,19,54,99,85552,28,178418,64685,Activate spot market logistics,At Risk
EVT-037,2026-03-27,Port Congestion,North America,Mexico,Monterrey Plant,SUP-1036,Tier 2,Glass,Sea,border inspection,High,20,14,20,30,50,26,164,123,217807,33,1567726,1282770,Increase safety stock,Severely At Risk
EVT-038,2026-03-30,Transport Disruption,South America,Argentina,Buenos Aires Distribution Center,SUP-1058,Tier 2,Rubber,Sea,rail network failure,Medium,7,10,6,23,48,36,38,73,91550,23,580204,145944,Activate spot market logistics,Stable with Monitoring
EVT-039,2026-04-03,Quality Failure,North America,Canada,Toronto Distribution Center,SUP-1058,Tier 3,Bearings,Road,inspection failure,High,22,16,12,40,50,26,181,280,299874,42,1991856,1444964,Expedite re-manufacturing,At Risk
EVT-040,2026-04-05,Customs Delay,Asia,Thailand,Bangkok Assembly Plant,SUP-1012,Tier 2,Glass,Sea,border inspection,Medium,15,5,6,30,46,30,28,73,77098,17,596570,266749,Use bonded warehouse,At Risk
EVT-041,2026-04-09,Labor Strike,Middle East,UAE,Dubai Logistics Hub,SUP-1080,Tier 2,Semiconductors,Road,working-conditions protest,Medium,6,10,6,29,34,21,22,68,28794,16,320065,232906,Cross-train employees,At Risk
EVT-042,2026-04-11,Port Congestion,Middle East,Saudi Arabia,Riyadh Distribution Center,SUP-1021,Tier 1,Electronic Components,Road,border inspection,High,30,19,14,37,58,24,178,263,233157,44,1135458,738166,Reroute via road,At Risk
EVT-043,2026-04-12,Quality Failure,North America,Mexico,Monterrey Plant,SUP-1081,Tier 3,Semiconductors,Air,specification non-compliance,Low,4,4,1,8,29,27,6,19,13762,14,58780,49705,Expedite re-manufacturing,Stable with Monitoring
EVT-044,2026-04-13,Labor Strike,Middle East,Turkey,Istanbul Manufacturing Plant,SUP-1036,Tier 2,Bearings,Road,working-conditions protest,Medium,8,8,9,19,43,30,52,42,30167,24,563459,289896,Activate contingency workforce,Stable with Monitoring
EVT-045,2026-04-16,Customs Delay,Africa,Nigeria,Lagos Distribution Center,SUP-1025,Tier 1,Plastics,Rail,border inspection,Medium,9,10,7,23,29,9,42,67,69396,18,395540,327402,Pre-clear customs documentation,At Risk
EVT-046,2026-04-19,Natural Disaster,South America,Brazil,Sao Paulo Manufacturing Plant,SUP-1068,Tier 1,Packaging,Road,severe storm,Medium,11,10,10,18,42,29,55,59,86797,15,474820,370616,Emergency inventory allocation,Stable with Monitoring
EVT-047,2026-04-23,Supplier Bankruptcy,Africa,Nigeria,Lagos Distribution Center,SUP-1017,Tier 1,Steel,Air,cash-flow crisis,Low,2,2,4,12,43,40,5,22,24822,13,74935,45141,Build strategic inventory,Stable
EVT-048,2026-04-27,Transport Disruption,North America,USA,Texas Distribution Center,SUP-1027,Tier 2,Bearings,Rail,fleet shortage,Critical,41,31,26,62,41,2,341,397,656187,80,5814445,1773429,Use alternate carrier,Severely At Risk
EVT-049,2026-04-30,Port Congestion,Europe,Poland,Warsaw Assembly Plant,SUP-1008,Tier 3,Plastics,Sea,port labor shortage,High,22,15,24,34,35,12,60,170,175858,34,1732913,693845,Use alternate port,At Risk
EVT-050,2026-05-01,Customs Delay,Europe,Poland,Warsaw Assembly Plant,SUP-1002,Tier 1,Steel,Sea,inspection failure,Medium,6,7,12,26,50,32,44,43,84245,22,472493,130417,Engage customs broker,At Risk
EVT-051,2026-05-02,Labor Strike,South America,Argentina,Buenos Aires Distribution Center,SUP-1087,Tier 1,Glass,Sea,working-conditions protest,Medium,7,4,7,23,39,23,51,100,67622,27,463205,263255,Implement mediation process,Stable with Monitoring
EVT-052,2026-05-03,Port Congestion,South America,Argentina,Buenos Aires Distribution Center,SUP-1052,Tier 1,Glass,Sea,container backlog,Medium,10,9,9,26,38,29,21,90,33799,17,586088,176540,Reroute via road,Stable with Monitoring
EVT-053,2026-05-04,Customs Delay,Africa,South Africa,Durban Logistics Hub,SUP-1045,Tier 3,Rubber,Rail,documentation errors,Critical,49,29,36,53,62,24,495,559,846145,54,7509103,4049761,Engage customs broker,At Risk
EVT-054,2026-05-05,Supplier Bankruptcy,Middle East,UAE,Dubai Logistics Hub,SUP-1071,Tier 3,Electronic Components,Road,cash-flow crisis,High,23,10,14,38,48,16,139,186,284037,30,980435,756815,Dual sourcing,At Risk
EVT-055,2026-05-06,Natural Disaster,Africa,Egypt,Alexandria Manufacturing Plant,SUP-1053,Tier 2,Copper,Air,severe storm,Medium,14,8,6,16,38,23,21,50,31522,17,292660,150973,Deploy disaster recovery plan,At Risk
EVT-056,2026-05-09,Port Congestion,Middle East,UAE,Dubai Logistics Hub,SUP-1055,Tier 1,Electronic Components,Sea,container backlog,Low,4,1,1,8,20,15,4,7,6496,9,57938,25890,Increase safety stock,Stable
EVT-057,2026-05-11,Transport Disruption,Middle East,Turkey,Istanbul Manufacturing Plant,SUP-1064,Tier 2,Packaging,Sea,fleet shortage,Medium,12,4,10,28,55,42,48,81,79747,24,210384,103723,Switch transport mode,At Risk
EVT-058,2026-05-14,Natural Disaster,South America,Brazil,Sao Paulo Manufacturing Plant,SUP-1055,Tier 2,Plastics,Sea,typhoon,High,22,15,24,35,54,23,79,230,159782,46,1669446,611588,Reroute shipments,At Risk
EVT-059,2026-05-16,Natural Disaster,Europe,Italy,Milan Manufacturing Plant,SUP-1022,Tier 2,Aluminum,Sea,severe storm,Medium,14,10,12,25,45,33,52,70,44786,29,185801,98725,Reroute shipments,Stable with Monitoring
EVT-060,2026-05-19,Natural Disaster,North America,Canada,Toronto Distribution Center,SUP-1004,Tier 1,Semiconductors,Sea,flooding,High,27,17,21,47,45,21,70,215,399712,50,994766,440597,Activate backup suppliers,Severely At Risk
EVT-061,2026-05-20,Customs Delay,Africa,South Africa,Durban Logistics Hub,SUP-1005,Tier 1,Glass,Road,border inspection,Medium,7,6,10,24,35,26,36,82,69350,16,563782,354354,Engage customs broker,Stable with Monitoring
EVT-062,2026-05-24,Supplier Bankruptcy,North America,Mexico,Monterrey Plant,SUP-1042,Tier 1,Copper,Road,cash-flow crisis,Critical,52,32,29,69,56,5,243,458,1189953,70,4755461,3509106,Dual sourcing,At Risk
EVT-063,2026-05-27,Labor Strike,North America,Canada,Toronto Distribution Center,SUP-1027,Tier 1,Glass,Sea,working-conditions protest,Low,3,1,5,13,44,38,11,29,19253,5,106760,48261,Activate contingency workforce,Stable with Monitoring
EVT-064,2026-05-29,Cyber Attack,Europe,United Kingdom,Birmingham Distribution Center,SUP-1092,Tier 2,Rubber,Air,system breach,Critical,49,29,39,57,41,2,473,422,1049001,80,5934388,4702317,Engage cybersecurity team,At Risk
EVT-065,2026-06-01,Transport Disruption,Middle East,Turkey,Istanbul Manufacturing Plant,SUP-1020,Tier 3,Electronic Components,Sea,route closure,Low,4,3,5,6,25,21,11,28,18905,6,57363,17227,Activate spot market logistics,Stable
EVT-066,2026-06-05,Natural Disaster,Europe,Netherlands,Rotterdam Distribution Center,SUP-1003,Tier 2,Rubber,Air,earthquake,Medium,6,6,8,15,54,39,32,42,68947,19,222141,60640,Emergency inventory allocation,At Risk
EVT-067,2026-06-09,Labor Strike,Asia,China,Shenzhen Manufacturing Plant,SUP-1027,Tier 3,Plastics,Road,working-conditions protest,Low,3,2,3,6,22,20,0,8,15756,15,124057,77372,Implement mediation process,Stable
EVT-068,2026-06-11,Cyber Attack,North America,Canada,Toronto Distribution Center,SUP-1078,Tier 1,Electronic Components,Air,ransomware attack,Medium,10,4,5,27,36,16,42,35,75709,26,282985,197633,Isolate affected systems,At Risk
EVT-069,2026-06-13,Natural Disaster,Middle East,Turkey,Istanbul Manufacturing Plant,SUP-1017,Tier 1,Plastics,Air,severe storm,Low,4,4,2,7,45,42,1,23,16997,5,58462,21686,Activate backup suppliers,Stable with Monitoring
EVT-070,2026-06-16,Transport Disruption,Middle East,Saudi Arabia,Riyadh Distribution Center,SUP-1004,Tier 2,Bearings,Sea,fleet shortage,Critical,40,28,28,75,47,2,388,523,1238906,73,5688778,4475830,Switch transport mode,At Risk
EVT-071,2026-06-20,Customs Delay,Middle East,Saudi Arabia,Riyadh Distribution Center,SUP-1093,Tier 2,Rubber,Road,border inspection,Medium,10,4,6,25,30,11,54,67,65173,29,465947,317122,Use bonded warehouse,At Risk
EVT-072,2026-06-24,Labor Strike,Africa,Morocco,Casablanca Distribution Center,SUP-1035,Tier 2,Steel,Sea,working-conditions protest,Medium,15,5,5,19,45,32,50,86,29561,19,185249,72542,Cross-train employees,At Risk
EVT-073,2026-06-25,Cyber Attack,Africa,Nigeria,Lagos Distribution Center,SUP-1047,Tier 2,Aluminum,Road,DDoS attack,Medium,10,9,9,22,42,33,19,33,49385,30,421447,203218,Implement incident response,At Risk
EVT-074,2026-06-29,Port Congestion,Middle East,Saudi Arabia,Riyadh Distribution Center,SUP-1025,Tier 1,Aluminum,Sea,container backlog,Critical,55,30,36,72,57,2,233,581,1008933,78,4516218,3436016,Shift to air freight,At Risk
EVT-075,2026-07-01,Natural Disaster,Europe,France,Lyon Distribution Center,SUP-1063,Tier 1,Plastics,Road,wildfire,High,19,19,13,32,56,34,139,201,350958,46,1461499,1039854,Emergency inventory allocation,Severely At Risk
EVT-076,2026-07-02,Quality Failure,South America,Chile,Santiago Logistics Hub,SUP-1016,Tier 3,Plastics,Road,inspection failure,High,19,16,20,31,59,32,91,232,180224,39,945310,328192,Activate alternate supplier,Severely At Risk
EVT-077,2026-07-03,Supplier Bankruptcy,Europe,United Kingdom,Birmingham Distribution Center,SUP-1016,Tier 2,Electronic Components,Air,cash-flow crisis,High,19,12,22,49,50,22,146,244,121597,30,770336,213596,Qualify alternate supplier,Severely At Risk
EVT-078,2026-07-04,Quality Failure,Africa,Morocco,Casablanca Distribution Center,SUP-1061,Tier 1,Rubber,Sea,defective batch,High,20,17,18,45,52,22,178,152,278358,49,901295,394361,Activate alternate supplier,Severely At Risk
EVT-079,2026-07-06,Customs Delay,Middle East,Turkey,Istanbul Manufacturing Plant,SUP-1040,Tier 1,Aluminum,Sea,border inspection,Low,1,3,4,14,30,27,6,8,7233,10,142388,84950,Pre-clear customs documentation,Stable with Monitoring
EVT-080,2026-07-10,Quality Failure,North America,Canada,Toronto Distribution Center,SUP-1011,Tier 3,Plastics,Air,inspection failure,Medium,10,4,5,24,29,17,43,90,62453,15,594162,186862,Activate alternate supplier,At Risk
EVT-081,2026-07-13,Labor Strike,South America,Brazil,Sao Paulo Manufacturing Plant,SUP-1046,Tier 2,Aluminum,Air,working-conditions protest,High,23,19,22,49,40,9,90,132,150688,42,1382653,1005103,Activate contingency workforce,At Risk
EVT-082,2026-07-17,Labor Strike,Asia,China,Shenzhen Manufacturing Plant,SUP-1091,Tier 1,Glass,Air,working-conditions protest,High,19,15,21,40,46,11,101,200,256884,48,1305426,723713,Cross-train employees,Severely At Risk
EVT-083,2026-07-18,Customs Delay,North America,Mexico,Monterrey Plant,SUP-1053,Tier 2,Steel,Road,border inspection,Critical,55,27,26,68,47,8,445,387,1499394,70,7198720,5145383,Pre-clear customs documentation,Severely At Risk
EVT-084,2026-07-19,Port Congestion,Asia,India,Pune Manufacturing Plant,SUP-1053,Tier 1,Bearings,Sea,border inspection,Critical,57,21,29,66,45,5,306,587,1081678,71,6012866,3398990,Increase safety stock,At Risk
EVT-085,2026-07-22,Supplier Bankruptcy,Middle East,Saudi Arabia,Riyadh Distribution Center,SUP-1031,Tier 1,Semiconductors,Sea,cash-flow crisis,High,21,17,17,45,47,15,149,243,243370,39,855588,508292,Build strategic inventory,Severely At Risk
EVT-086,2026-07-24,Supplier Bankruptcy,Asia,Japan,Tokyo Assembly Plant,SUP-1044,Tier 3,Semiconductors,Road,cash-flow crisis,Medium,13,6,9,19,32,14,18,60,56779,16,501185,397495,Qualify alternate supplier,Stable with Monitoring
EVT-087,2026-07-25,Transport Disruption,North America,Mexico,Monterrey Plant,SUP-1012,Tier 2,Copper,Sea,rail network failure,Critical,35,33,45,65,64,27,444,402,1002396,60,4394237,2801496,Switch transport mode,Severely At Risk
EVT-088,2026-07-27,Transport Disruption,Europe,Germany,Berlin Manufacturing Plant,SUP-1063,Tier 1,Semiconductors,Rail,fleet shortage,Medium,14,4,10,24,39,27,41,99,93723,30,220359,167612,Switch transport mode,Stable with Monitoring
EVT-089,2026-07-30,Cyber Attack,Africa,Nigeria,Lagos Distribution Center,SUP-1091,Tier 1,Packaging,Road,DDoS attack,High,21,12,21,50,33,8,163,209,370155,40,781902,383522,Activate backup IT infrastructure,Severely At Risk
EVT-090,2026-08-02,Port Congestion,Asia,Japan,Tokyo Assembly Plant,SUP-1030,Tier 2,Semiconductors,Road,container backlog,High,15,14,22,41,51,22,120,115,161983,44,1243419,430011,Use alternate port,Severely At Risk
EVT-091,2026-08-05,Port Congestion,Europe,France,Lyon Distribution Center,SUP-1019,Tier 2,Electronic Components,Sea,border inspection,Critical,54,26,32,71,64,11,241,569,1336898,66,7903618,3691550,Use alternate port,Severely At Risk
EVT-092,2026-08-07,Cyber Attack,Europe,Italy,Milan Manufacturing Plant,SUP-1014,Tier 2,Electronic Components,Air,DDoS attack,Medium,5,7,7,28,48,40,41,37,98242,29,502724,369074,Engage cybersecurity team,At Risk
EVT-093,2026-08-08,Port Congestion,Middle East,UAE,Dubai Logistics Hub,SUP-1054,Tier 1,Aluminum,Sea,container backlog,Critical,32,35,26,59,55,7,409,392,684014,74,7381501,6178316,Reroute via road,At Risk
EVT-094,2026-08-12,Transport Disruption,South America,Brazil,Sao Paulo Manufacturing Plant,SUP-1083,Tier 3,Aluminum,Sea,rail network failure,Medium,7,9,8,15,38,22,60,32,64107,29,503107,342845,Activate spot market logistics,Stable with Monitoring
EVT-095,2026-08-14,Quality Failure,North America,USA,Texas Distribution Center,SUP-1024,Tier 3,Aluminum,Sea,contamination,High,15,13,15,32,57,36,85,252,117603,44,1853645,1210827,Return to supplier,At Risk
EVT-096,2026-08-18,Quality Failure,Europe,Poland,Warsaw Assembly Plant,SUP-1096,Tier 3,Steel,Sea,specification non-compliance,Medium,14,6,10,22,26,10,31,48,93321,22,366824,157844,Return to supplier,At Risk
EVT-097,2026-08-22,Labor Strike,North America,Mexico,Monterrey Plant,SUP-1067,Tier 1,Rubber,Air,working-conditions protest,Medium,13,7,8,22,38,22,31,48,85689,16,444852,221361,Activate contingency workforce,At Risk
EVT-098,2026-08-24,Supplier Bankruptcy,Europe,Italy,Milan Manufacturing Plant,SUP-1057,Tier 3,Aluminum,Air,cash-flow crisis,Low,4,1,1,8,26,18,12,25,21253,15,93249,35454,Emergency direct procurement,Stable with Monitoring
EVT-099,2026-08-25,Port Congestion,Europe,United Kingdom,Birmingham Distribution Center,SUP-1095,Tier 3,Glass,Rail,border inspection,High,27,13,20,40,38,7,132,197,344449,47,1960467,912706,Pre-clear customs,Severely At Risk
EVT-100,2026-08-29,Natural Disaster,Africa,Nigeria,Lagos Distribution Center,SUP-1026,Tier 1,Rubber,Sea,earthquake,High,15,14,20,48,48,21,166,175,179907,36,1291777,501223,Deploy disaster recovery plan,Severely At Risk
